name,pos,weight
FeXI4567,4567.4697,1.0
FeIX4588,4588.5537,1.0
[FeIII]4658,4658.05,1.0
[FeVII]4698,4698.24,1.0
[ArIV]4711,4711.26,1.0
[ArIV]4740,4740.12,1.0
[FeVII]4893,4893.37,1.0
[FeIV]4903,4903.07,1.0
[FeVII]4942,4942.48,1.0
[FeIII]5084,5084.77,1.0
[FeVI]5145,5145.75,1.0
[FeVII]5158,5158.89,1.0
[FeVI]5176,5176.04,1.0
[FeV]5236,5236.06,1.0
[FeXIV]5302,5302.86,1.0
[FeVI]5335,5335.18,1.0
[FeVI]5424,5424.22,1.0
ArX5535,5533.265,1.0
FeX5538,5538.939,1.0
[FeVI]5637,5637.6,1.0
[FeVI]5677,5677.0,1.0
[FeVII]5720,5720.7,1.0
ArXV5945,5943.879,1.0
[FeVII]6087,6087.0,1.0
[FeX]6374,6374.51,1.0
[ArV]6435,6435.1,1.0
ArXI6918,6916.878,1.0
[ArV]7005,7005.87,1.0
FeXIX7046,7046.7324,1.0
FeXV7062,7062.147,1.0
