name,pos,weight
[OII]3726,3726.032,1.0
[OII]3728,3728.815,1.0
[NeIII]3868,3868.76,1.0
CrII1944003,4003.328107,1.0
NiII124015,4015.504925,1.0
TiII874053,4053.814908,1.0
CrII194063,4063.942258,1.0
[SII]1F4068,4068.621034,1.0
[SII]1F4076,4076.219045,1.0
NIII4097,4097.33,1.0
NIII4103,4103.43,1.0
TiII1054163,4163.63614,1.0
TiII194395,4395.025307,1.0
OII4414,4414.899,1.0
TiII934421,4421.948211,1.0
TiII194443,4443.802449,1.0
TiII194450,4450.490685,1.0
NIII14510,4510.91,1.0
CrII444616,4616.636803,1.0
NIII4640,4640.64,1.0
NII54643,4643.09,1.0
CIII4647,4647.42,1.0
CIII4650,4650.25,1.0
CIII4651,4651.47,1.0
CrII4697,4697.595379,1.0
CrII304824,4824.131846,1.0
CrII304876,4876.477958,1.0
TiII1144911,4911.19874,1.0
TiII1135072,5072.275931,1.0
[NI]5200,5200.261862,1.0
[NII]5754,5754.59,1.0
NII5666,5666.64,1.0
NII5676,5676.02,1.0
NII5679,5679.56,1.0
NII5686,5686.21,1.0
CIII5695,5695.92,1.0
SiII5957,5957.56,1.0
OIb6046,6046.44,1.0
SII6288,6288.0859,1.0
[SIII]6312,6312.06,1.0
SiII6347,6347.1,1.0
SiII6371,6371.36,1.0
[NiII]7377,7377.83,1.0
[NiII]7411,7411.16,1.0
[NiIII]7889,7889.9,1.0
[SIII]9068,9068.6,1.0
[SIII]9531,9531.0,1.0
